author_name,affiliation,city,country,publication_date,title,latitude,longitude,cluster
Edlmann K.,The University of Edinburgh,Edinburgh,United Kingdom,2015-12-23,Appraisal of global CO<inf>2</inf> storage opportunities using the geomechanical facies approach,55.9533456,-3.1883749,0
Si K.,Monash University,Melbourne,Australia,2015-12-01,Dual-Coded Plasmene Nanosheets as Next-Generation Anticounterfeit Security Labels,-37.8142454,144.9631732,1
Lu Q.,Whiting School of Engineering,Baltimore,United States,2015-12-01,Carnitine and acetylcarnitine modulate mesenchymal differentiation of adult stem cells,39.2908816,-76.610759,2
Ghaffari F.,Tarbiat Modares University,Tehran,Iran,2015-12-24,DroidMalHunter: A novel entropy-based anomaly detection system to detect malicious Android applications,35.6892523,51.3896004,0
Xu D.,"Shandong University, Weihai",Weihai,China,2015-12-01,Scalable multi-hash name lookup method for named data networking,37.5120997,122.1152599,3
Tamura S.,Gifu University,Gifu,Japan,2015-12-22,Multi-modal service operation estimation using DNN-based acoustic bag-of-features,35.7867449,137.0460777,3
Khan M.,Rheinisch-Westfälische Technische Hochschule Aachen,Aachen,Germany,2015-12-23,Highly linear and reliable low band class-O RF power amplifier in 130 nm CMOS technology for 4G LTE applications,50.776351,6.083862,0
Peng D.,University of Georgia,Athens,United States,2015-12-30,CRISPR-Cas9-mediated single-gene and gene family disruption in Trypanosoma cruzi,33.9597677,-83.376398,2
Hadicke O.,Max Planck Institute for Dynamics of Complex Technical Systems,Magdeburg,Germany,2015-12-01,Manipulation of the ATP pool as a tool for metabolic engineering,52.1315889,11.6399609,0
Reeping D.,Ohio Northern University,Ada,United States,2015-12-02,Viewing K-12 mathematics and science standards through the lens of the first-year introduction to engineering course classification scheme,38.8398935,-83.5051704,2
Radlak K.,Silesian University of Technology,Gliwice,Poland,2015-12-02,Integration of robotic arm manipulator with computer vision in a project-based learning environment,50.30113145,18.662347227971978,0
Cheval V.,INRIA Institut National de Recherche en Informatique et en Automatique,Le Chesnay,France,2015-12-01,Secure refinements of communication channels,48.8264842,2.1257808,0
Lendering K.T.,"Faculteit Civiele Techniek en Geowetenschappen, TU Delft",Delft,Netherlands,2015-12-26,Risk-based optimization of land reclamation,52.0114017,4.35839,0
Main J.B.,Purdue University,West Lafayette,United States,2015-12-02,Student evaluations of team members: Is there gender bias?,40.4258686,-86.9080655,2
Rolim T.,Comando Geral de Tecnologia Aeroespacial,Sao Jose dos Campos,Brazil,2015-12-01,Preliminary analysis of scramjet engines based on engineering models,-23.1867782,-45.8854538,4
Zhang B.,Tsinghua University,Beijing,China,2015-12-31,Connection method of grounding grids for internet data center co-sited with substation,40.190632,116.412144,3
Sypsas A.,University of Ioannina,Ioannina,Greece,2015-12-16,Supporting undergraduate students via Webinars,39.6639818,20.8522784,0
Luiz Oliveira H.,Universidade de São Paulo,Sao Paulo,Brazil,2015-12-01,"Erratum: An alternative BEM formulation, based on dipoles of stresses and tangent operator technique, applied to cohesive crack growth modelling (Engineering Analysis with Boundary Elements (2041) 14 (74-82))",-23.5506507,-46.6333824,4
Liu C.,Osaka University,Suita,Japan,2015-12-14,Control of Cell-Cell Distance and Cell Densities in Millimeter-Sized 3D Tissues Constructed by Collagen Nanofiber Coating Techniques,34.7594193,135.516835,3
Norbakyah J.,Universiti Malaysia Terengganu,Kuala Terengganu,Malaysia,2015-12-22,Power requirements for PHERB powertrain,5.3296461,103.1383265,5
Erndt-Marino J.D.,Rensselaer Polytechnic Institute,Troy,United States,2015-12-14,Evaluation of the Osteoinductive Capacity of Polydopamine-Coated Poly(-caprolactone) Diacrylate Shape Memory Foams,42.7284117,-73.6917878,2
Chen W.,National Chung Cheng University,Min-Hsiung,Taiwan,2015-12-22,Scene-aware high dynamic range imaging,23.5552283,120.4316823,3
Chen H.,University of Electronic Science and Technology of China,Chengdu,China,2015-12-01,Calculation of Elastic Bond Constants in Atomistic Strain Analysis,30.6598628,104.0633717,3
Tang Z.,Wuhan University,Wuhan,China,2015-12-10,Empirical peak shear strength criterion for rock joints based on slope root-mean-square,30.5951051,114.2999353,3
Zhang H.,Nanjing University of Aeronautics and Astronautics,Nanjing,China,2015-12-23,The research on a novel linear stepping piezoelectric stacks actuator,32.0438284,118.7788631,3
Şayli Ö.,Kocaeli Üniversitesi,İzmit,Turkey,2015-12-30,"Use of entropy, spectral parameters and recurrence quantification analysis for the evaluation of muscle fatigue from surface electromyography",40.7721138,29.9505623,0
Rista C.,BARBER-NICHOLS INC.,Arvada,United States,2015-12-18,"Engineering, manufacture and preliminary testing of the ITER toroidal field (TF) magnet helium cold circulator",39.8005505,-105.0811573,2
Mohammadi S.,UNSW Sydney,Sydney,Australia,2015-12-01,H-adaptive updated lagrangian approach for large-deformation analysis of slope failure,-33.8698439,151.2082848,1
Tünnerhoff H.,Krankenhaus Marbach,Marbach am Neckar,Germany,2015-12-01,Clinical results of refixation of the triangular fibrocartilage complex,48.9402085,9.256396,0
