author_name,affiliation,city,country,publication_date,title,latitude,longitude,cluster
Niwiński A.,University of Warsaw,Warsaw,Poland,2017-12-31,The mystery of the 'high place' from the Abbott Papyrus revealed? The results of the works of the Polish Cliff Mission at Deir el-Bahari 1999-2014,52.2319581,21.0067249,0
Cole J.R.,Harvard University,Cambridge,United States,2017-12-31,"The Campus Wells Program: Preserving and re-tasking: Monitoring wells in Boston, MA from campus construction for environmental educational purposes",42.3656347,-71.1040018,1
Cheng Z.,Zhejiang Gongshang University,Hangzhou,China,2017-12-31,Synthesis of Affinity Ionic Liquids for the Purification of Hexahistidine-tagged Proteins,30.2489634,120.2052342,2
Xu T.,China Electric Power Research Institute,Beijing,China,2017-12-31,Pollution Withstand Voltage Characteristics of Y-shape Insulator String on UHVAC Transmission Lines,40.190632,116.412144,2
Yu Y.,Heilongjiang University of Science and Technology,Harbin,China,2017-12-31,Nonlinear Active Disturbance Rejection Control of Static Var Generator with Cascaded Unit Considering Time-delay Factor,45.7593633,126.6276177,2
Yu Y.,Harbin Institute of Technology,Harbin,China,2017-12-31,Nonlinear Active Disturbance Rejection Control of Static Var Generator with Cascaded Unit Considering Time-delay Factor,45.7593633,126.6276177,2
da Costa R.,"University of Maryland, College Park",College Park,United States,2017-12-31,Framing engineering: The role of college website descriptions,38.980666,-76.9369189,1
Ji R.,Tsinghua University,Beijing,China,2017-12-31,Research on the transportation of low-strength composites sheets,40.190632,116.412144,2
Ji R.,Ministry of Education of the People's Republic of China,Beijing,China,2017-12-31,Research on the transportation of low-strength composites sheets,40.190632,116.412144,2
Gulia P.,Maharshi Dayanand University,Rohtak,India,2017-12-31,Nature inspired soft computing based software testing techniques for reusable software components,28.9010899,76.5801935,3
Elmounadi A.,Mohammed V University in Rabat,Rabat,Morocco,2017-12-31,Eclipse JDT-based method for dynamic analysis integration in java code generation process,34.02236,-6.8340222,0
Raja Ramesh C.,K L Deemed to be University,Vaddeswaram,India,2017-12-31,Distributed and progressive feature selection algorithm for high dimensional data: A MapReduce approach,16.4470335,80.6114786,3
Trivedi P.,Amity University,Noida,India,2017-12-31,Impact of green production and green technology on sustainability: Cases on companies in India,28.5706333,77.3272147,3
Lyashenko V.,Kharkiv National University of Radio Electronics,Kharkiv,Ukraine,2017-12-31,Study of composite materials for the engineering using wavelet analysis and image processing technology,49.9923181,36.2310146,0
Sri Ranjini S.,Amrita Vishwa Vidyapeetham,Coimbatore,India,2017-12-31,"An examination of the essential aspects, in execution of enterprise resource planning in manufacturing and production industries",11.0018115,76.9628425,3
Alphonse M.,Vel Tech Rangarajan Dr.Sagunthala R&amp;D Institute of Science and Technology,Chennai,India,2017-12-31,Recent trends and advancements in the field of micro electrical and mechanical systems (MEMS) technology,13.0836939,80.270186,3
Raja R.,Karunya Institute of Technology and Sciences,Coimbatore,India,2017-12-31,Experimental investigation of high speed drilling of glass fiber reinforced plastic (GFRP) composite laminates made up of different polymer matrices,11.0018115,76.9628425,3
Prabu S.,Vel Tech Rangarajan Dr.Sagunthala R&amp;D Institute of Science and Technology,Chennai,India,2017-12-31,Optimization of machining parameters in wire EDM of EN24 steel,13.0836939,80.270186,3
Gorsse S.,Bordeaux INP,Talence,France,2017-12-31,"Additive manufacturing of metals: a brief review of the characteristic microstructures and properties of steels, Ti-6Al-4V and high-entropy alloys",44.8088438,-0.5879629,0
Gorsse S.,Université de Bordeaux,Bordeaux,France,2017-12-31,"Additive manufacturing of metals: a brief review of the characteristic microstructures and properties of steels, Ti-6Al-4V and high-entropy alloys",44.841225,-0.5800364,0
Sun X.,University of Chinese Academy of Sciences,Beijing,China,2017-12-31,"Spatiotemporal assessment and trade-offs of multiple ecosystem services based on land use changes in Zengcheng, China",40.190632,116.412144,2
Sun X.,Research Center for Eco-Environmental Sciences Chinese Academy of Sciences,Beijing,China,2017-12-31,"Spatiotemporal assessment and trade-offs of multiple ecosystem services based on land use changes in Zengcheng, China",40.190632,116.412144,2
García-Mozo H.,Universidad de Córdoba,Cordoba,Spain,2017-12-31,Wind dynamics' influence on south Spain airborne olive-pollen during African intrusions,37.8845813,-4.7760138,0
Mankari K.,University of Hyderabad,Hyderabad,India,2017-12-31,Development of stress corrosion cracking resistant welds of 321 stainless steel by simple surface engineering,17.360589,78.4740613,3
Chen F.,Northwest Normal University China,Lanzhou,China,2017-12-31,"Environmental controls on stable isotopes of precipitation in Lanzhou, China: An enhanced network at city scale",36.474436,103.733224,2
Jia K.,University of Electronic Science and Technology of China,Chengdu,China,2017-12-31,Scalable creation of gold nanostructures on high performance engineering polymeric substrate,30.6598628,104.0633717,2
Chavan G.T.,Solapur University,Solapur,India,2017-12-31,Quaternary schematics for property engineering of CdSe thin films,17.84990665,75.27632027348457,3
Cicala G.,Consiglio Nazionale delle Ricerche,Rome,Italy,2017-12-31,Electrical current at micro-/macro-scale of undoped and nitrogen-doped MWPECVD diamond films,41.8933203,12.4829321,0
Chernozem R.V.,Tomsk Polytechnic University,Tomsk,Russian Federation,2017-12-31,"Hybrid biocomposites based on titania nanotubes and a hydroxyapatite coating deposited by RF-magnetron sputtering: Surface topography, structure, and mechanical properties",58.6124279,82.0475315,4
Sharifzadeh M.S.,Gorgan University of Agricultural Sciences and Natural Resources,Gorgan,Iran,2017-12-31,Perceived usefulness of personal protective equipment in pesticide use predicts farmers' willingness to use it,36.8392776,54.4320858,0
Lee H.,Hankyong National University,Anseong,South Korea,2017-12-31,Stability of cognitive development during the first five years of life in relation to heavy metal concentrations in umbilical cord blood: Mothers' and Children's Environmental Health (MOCEH) birth cohort study,37.007773,127.279971,2
Schwarz S.,Eberhard Karls Universität Tübingen,Tubingen,Germany,2017-12-31,"Impact of the NSAID diclofenac on survival, development, behaviour and health of embryonic and juvenile stages of brown trout, Salmo trutta f. fario",48.5203263,9.053596,0
Tu T.,College of Engineering,Davis,United States,2017-12-31,Assessment of the effects of multiple extreme floods on flow and transport processes under competing flood protection and environmental management strategies,40.7474784,-92.3965311,1
Gallart F.,CSIC - Instituto de Diagnostico Ambiental y Estudios del Agua (IDAEA),Barcelona,Spain,2017-12-31,TREHS: An open-access software tool for investigating and evaluating temporary river regimes as a first step for their ecological status assessment,41.3828939,2.1774322,0
Maceda-Veiga A.,CSIC - Estación Biológica de Doñana (EBD),Sevilla,Spain,2017-12-31,The presence of non-native species is not associated with native fish sensitivity to water pollution in greatly hydrologically altered rivers,37.3886303,-5.9953403,0
Maceda-Veiga A.,Universitat de Barcelona,Barcelona,Spain,2017-12-31,The presence of non-native species is not associated with native fish sensitivity to water pollution in greatly hydrologically altered rivers,41.3828939,2.1774322,0
Lee J.J.,Harvard T.H. Chan School of Public Health,Boston,United States,2017-12-31,Anthropometric measures at birth and early childhood are associated with neurodevelopmental outcomes among Bangladeshi children aged 2–3 years,42.3554334,-71.060511,1
Lee J.J.,Boston Children's Hospital,Boston,United States,2017-12-31,Anthropometric measures at birth and early childhood are associated with neurodevelopmental outcomes among Bangladeshi children aged 2–3 years,42.3554334,-71.060511,1
Fischer A.,AP-HP Assistance Publique - Hopitaux de Paris,Paris,France,2017-12-30,New perspectives in genetic therapies,48.8588897,2.3200410217200766,0
Fischer A.,Collège de France,Paris,France,2017-12-30,New perspectives in genetic therapies,48.8588897,2.3200410217200766,0
Fischer A.,Inserm,Paris,France,2017-12-30,New perspectives in genetic therapies,48.8588897,2.3200410217200766,0
Fischer A.,Paris Descartes-Sorbonne Paris Cité University,Paris,France,2017-12-30,New perspectives in genetic therapies,48.8588897,2.3200410217200766,0
Wang J.,Civil Aviation University of China,Tianjin,China,2017-12-30,Research on Safety Analysis of Air Traffic Control System Based on STPA,39.3032619,117.4163641,2
Lei G.,Wuhan University of Technology,Wuhan,China,2017-12-30,Influence of Speeding Capture System on Accident Type and Intensity in Different Road Alignment,30.5951051,114.2999353,2
Xiao L.,Wuhan University of Science and Technology,Wuhan,China,2017-12-30,Experimental Study on Seismic Behavior of Reinforced Self-compacting Concrete T-shaped Section Short-Limbed Shear Walls,30.5951051,114.2999353,2
Yan H.,Inner Mongolia University of Science and Technology,Baotou,China,2017-12-30,Research on development status and innovation trend of giant magnetostrictive materials based on patent analysis,40.6174777,109.944912,2
Yan H.,Hebei University of Technology,Tianjin,China,2017-12-30,Research on development status and innovation trend of giant magnetostrictive materials based on patent analysis,39.3032619,117.4163641,2
Wu S.,Jiangsu University,Zhenjiang,China,2017-12-30,Antibacterial and antioxidant activity of hemicellulose-glucosamine-Zn(Ⅱ) complex,32.1891959,119.4200069,2
Hu Q.,China Ship Scientific Research Center,Wuxi,China,2017-12-30,Comparison Analysis of Different Current Correction Methods of Trial Speed,31.5776626,120.2952752,2
Luo R.,China Academy of Space Technology,Beijing,China,2017-12-30,A Classification Method of Flywheel Micro-Vibration Characteristics,40.190632,116.412144,2
Luo R.,Beijing Institute of Control Engineering,Beijing,China,2017-12-30,A Classification Method of Flywheel Micro-Vibration Characteristics,40.190632,116.412144,2
Zheng C.,Harbin Institute of Technology,Harbin,China,2017-12-30,Numerical investigation on the characteristics of aerodynamic noise sources induced by flows around bluff bodies,45.7593633,126.6276177,2
Chandra P.,Indian Institute of Technology Guwahati,Guwahati,India,2017-12-30,Next generation point-of-care biomedical sensors technologies for cancer diagnosis,26.1805978,91.753943,3
Satyanarayana S.,FAMU-FSU College of Engineering,Tallahassee,United States,2017-12-30,Coupled Cryogenic Thermal and Electrical Models for Transient Analysis of Superconducting Power Devices with Integrated Cryogenic Systems,30.4380832,-84.2809332,1
Satyanarayana S.,Florida State University,Tallahassee,United States,2017-12-30,Coupled Cryogenic Thermal and Electrical Models for Transient Analysis of Superconducting Power Devices with Integrated Cryogenic Systems,30.4380832,-84.2809332,1
Ye B.,"Institute of High Energy Physics, Chinese Academy of Sciences",Beijing,China,2017-12-30,Commissioning of cryogenic system for China Spallation Neutron Source,40.190632,116.412144,2
Bonne F.,Université Grenoble Alpes,Saint Martin d'Heres,France,2017-12-30,Model-based minimization algorithm of a supercritical helium loop consumption subject to operational constraints,45.1836683,5.75448,0
Xie X.,Xi'an University of Technology,Xi'an,China,2017-12-30,An Input and Output Analysis of the Quaternity-Dominating Energy Engineering Model from China's Countryside,34.261004,108.9423363,2
Pecqueur S.,CNRS Centre National de la Recherche Scientifique,Paris,France,2017-12-30,Concentric-electrode organic electrochemical transistors: Case study for selective hydrazine sensing,48.8588897,2.3200410217200766,0
Badgujar S.,ITER India,Ahmedabad,India,2017-12-30,Dynamic simulation of relief line during loss of insulation vacuum of the ITER cryoline,23.0215374,72.5800568,3
Cheng T.,University of Cambridge,Cambridge,United Kingdom,2017-12-30,A new passive system for contamination-free long-distance cryo-transfer of biological tissues,52.2055314,0.1186637,0
Cheng T.,École Polytechnique Fédérale de Lausanne,Lausanne,Switzerland,2017-12-30,A new passive system for contamination-free long-distance cryo-transfer of biological tissues,46.5218269,6.6327025,0
Cheng T.,Université de Lausanne (UNIL),Lausanne,Switzerland,2017-12-30,A new passive system for contamination-free long-distance cryo-transfer of biological tissues,46.5218269,6.6327025,0
Fuerst J.,Argonne National Laboratory,Lemont,United States,2017-12-30,A second-generation superconducting undulator cryostat for the APS,41.6737149,-88.0016263,1
Jahangiri M.,K. N. Toosi University of Technology,Tehran,Iran,2017-12-30,HOPG/ZnO/HOPG pressure sensor,35.6892523,51.3896004,0
Montanari D.,Fermi National Accelerator Laboratory,Batavia,United States,2017-12-30,Status of the LBNF Cryogenic System,42.9980144,-78.1875515,1
Chen J.,Fuzhou Meteorological Bureau,Fuzhou,China,2017-12-30,Research on Application of Automatic Weather Station Based on Internet of Things,26.0774954,119.2918215,2
Arpaia P.,Organisation Européenne pour la Recherche Nucléaire,Geneva,Switzerland,2017-12-30,Comparison of different cryogenic control strategies via simulation applied to a superconducting magnet test bench at CERN,46.2017559,6.1466014,0
Arpaia P.,Università degli Studi di Napoli Federico II,Naples,Italy,2017-12-30,Comparison of different cryogenic control strategies via simulation applied to a superconducting magnet test bench at CERN,40.8358846,14.2487679,0
Zhang S.,University of Chinese Academy of Sciences,Beijing,China,2017-12-30,Structure design and simulation research of active magnetic bearing for helium centrifugal cold compressor,40.190632,116.412144,2
Zhang S.,Technical Institute of Physics and Chemistry Chinese Academy of Sciences,Beijing,China,2017-12-30,Structure design and simulation research of active magnetic bearing for helium centrifugal cold compressor,40.190632,116.412144,2
Boeckmann T.,Deutsches Elektronen-Synchrotron (DESY),Hamburg,Germany,2017-12-30,Use of PROFIBUS for cryogenic instrumentation at XFEL,53.550341,10.000654,0
Suttell N.,FAMU-FSU College of Engineering,Tallahassee,United States,2017-12-30,Investigation of solid nitrogen for cryogenic thermal storage in superconducting cable terminations for enhanced resiliency,30.4380832,-84.2809332,1
Suttell N.,Florida State University,Tallahassee,United States,2017-12-30,Investigation of solid nitrogen for cryogenic thermal storage in superconducting cable terminations for enhanced resiliency,30.4380832,-84.2809332,1
Chen Y.L.,Jiangsu University of Science and Technology,Zhenjiang,China,2017-12-30,The Vulnerability Formation Mechanism and Control Strategy of the Oil and Gas Pipeline City,32.1891959,119.4200069,2
Pan W.,Chinese Academy of Sciences,Beijing,China,2017-12-30,The control system of a 2kW@20K helium refrigerator,40.190632,116.412144,2
Weber C.,Karlsruher Institut für Technologie,Karlsruhe,Germany,2017-12-30,Safety studies on vacuum insulated liquid helium cryostats,49.0068705,8.4034195,0
Weber C.,"Karlsruher Institut für Technologie, Campus Nord",Eggenstein-Leopoldshafen,Germany,2017-12-30,Safety studies on vacuum insulated liquid helium cryostats,49.088332,8.4003114,0
Stautner W.,GE Global Research,Niskayuna,United States,2017-12-30,"The scope of additive manufacturing in cryogenics, component design, and applications",42.8154056,-73.8928774,1
Parma V.,Organisation Européenne pour la Recherche Nucléaire,Geneva,Switzerland,2017-12-30,Cryogenic safety in helium cryostats at CERN,46.2017559,6.1466014,0
Yu Z.,University of Wisconsin-Madison,Madison,United States,2017-12-30,Numerical modeling and analytical modeling of cryogenic carbon capture in a de-sublimating heat exchanger,43.074761,-89.3837613,1
